Country,Adjective
Afghanistan,Afghan
Algeria,Algerian
Angola,Angolan
Argentina,Argentinian
Argentina,Argentine
Argentina,Argentine-Italian
Austria,Austrian
Australia,Australian
Bangladesh,Bangladeshi
Belarus,Belarusian
Belgium,Belgian
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian/Herzegovinian
Brazil,Brazilian
Great Britain,British
Bulgaria,Bulgarian
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese
Colombia,Colombian
Costa Rica,Costa Rican
Croatia,Croatian
the Czech Republic,Czech
Democratic Republic of the Congo,Congolese
Denmark,Danish
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
England,English
Estonia,Estonian
Ethiopia,Ethiopian
Finland,Finnish
France,French
Germany,German
Germany,East German
Ghana,Ghanaian
Greece,Greek
Guatemala,Guatemalan
Netherlands,Dutch
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Ivory Coast,Ivorian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakh
Kenya,Kenyan
Laos,Lao
Latvia,Latvian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Madagascar,Malagasy
Malaysia,Malaysian
Mali,Malian
Mauritania,Mauritanian
Mexico,Mexican
Monaco,Monegasque
Morocco,Moroccan
Namibia,Namibian
New Zealand,New Zealander
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Panama,Panamanian
Paraguay,Paraguayan
Peru,Peruvian
The Philippines,Philippine
Poland,Polish
Portugal,Portuguese
Republic of the Congo,Congolese
Rhodesia,Rhodesian
Romania,Romanian
Russia,Russian
Saudi Arabia,"Saudi, Saudi Arabian"
Scotland,Scottish
Senegal,Senegalese
Serbia,Serbian
Singapore,Singaporean
Slovakia,Slovak
Somalia,Somalian
South Africa,South African
Spain,Spanish
Sudan,Sudanese
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Thailand,Thai
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Ukraine,Ukranian
The United Arab Emirates,Emirati
USA,American
USA,American-Italian
Uruguay,Uruguayan
Venezuela,Venezuelan
Vietnam,Vietnamese
Wales,Welsh
Zambia,Zambian
Zimbabwe,Zimbabwean
