Circuit_Location_country,Circuit_Location_lat,Circuit_Location_locality,Circuit_Location_long,Circuit_circuitId,Circuit_circuitName,Circuit_url,date,raceName,round,season,url
UK,52.0786,Silverstone,-1.01694,silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,1950-05-13,British Grand Prix,1,1950,https://en.wikipedia.org/wiki/1950_British_Grand_Prix
Monaco,43.7347,Monte Carlo,7.42056,monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,1950-05-21,Monaco Grand Prix,2,1950,https://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
USA,39.795,Indianapolis,-86.2347,indianapolis,Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,1950-05-30,Indianapolis 500,3,1950,https://en.wikipedia.org/wiki/1950_Indianapolis_500
Switzerland,46.9589,Bern,7.40194,bremgarten,Circuit Bremgarten,https://en.wikipedia.org/wiki/Circuit_Bremgarten,1950-06-04,Swiss Grand Prix,4,1950,https://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
Belgium,50.4372,Spa,5.97139,spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,1950-06-18,Belgian Grand Prix,5,1950,https://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
France,49.2542,Reims,3.93083,reims,Reims-Gueux,https://en.wikipedia.org/wiki/Reims-Gueux,1950-07-02,French Grand Prix,6,1950,https://en.wikipedia.org/wiki/1950_French_Grand_Prix
Italy,45.6156,Monza,9.28111,monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,1950-09-03,Italian Grand Prix,7,1950,https://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
Switzerland,46.9589,Bern,7.40194,bremgarten,Circuit Bremgarten,https://en.wikipedia.org/wiki/Circuit_Bremgarten,1951-05-27,Swiss Grand Prix,1,1951,https://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
USA,39.795,Indianapolis,-86.2347,indianapolis,Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,1951-05-30,Indianapolis 500,2,1951,https://en.wikipedia.org/wiki/1951_Indianapolis_500
Belgium,50.4372,Spa,5.97139,spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,1951-06-17,Belgian Grand Prix,3,1951,https://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
France,49.2542,Reims,3.93083,reims,Reims-Gueux,https://en.wikipedia.org/wiki/Reims-Gueux,1951-07-01,French Grand Prix,4,1951,https://en.wikipedia.org/wiki/1951_French_Grand_Prix
UK,52.0786,Silverstone,-1.01694,silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,1951-07-14,British Grand Prix,5,1951,https://en.wikipedia.org/wiki/1951_British_Grand_Prix
Germany,50.3356,Nürburg,6.9475,nurburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,1951-07-29,German Grand Prix,6,1951,https://en.wikipedia.org/wiki/1951_German_Grand_Prix
Italy,45.6156,Monza,9.28111,monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,1951-09-16,Italian Grand Prix,7,1951,https://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
Spain,41.3903,Barcelona,2.11667,pedralbes,Circuit de Pedralbes,https://en.wikipedia.org/wiki/Pedralbes_Circuit,1951-10-28,Spanish Grand Prix,8,1951,https://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
Switzerland,46.9589,Bern,7.40194,bremgarten,Circuit Bremgarten,https://en.wikipedia.org/wiki/Circuit_Bremgarten,1952-05-18,Swiss Grand Prix,1,1952,https://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
USA,39.795,Indianapolis,-86.2347,indianapolis,Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,1952-05-30,Indianapolis 500,2,1952,https://en.wikipedia.org/wiki/1952_Indianapolis_500
Belgium,50.4372,Spa,5.97139,spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,1952-06-22,Belgian Grand Prix,3,1952,https://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
France,49.3306,Rouen,1.00458,essarts,Rouen-Les-Essarts,https://en.wikipedia.org/wiki/Rouen-Les-Essarts,1952-07-06,French Grand Prix,4,1952,https://en.wikipedia.org/wiki/1952_French_Grand_Prix
UK,52.0786,Silverstone,-1.01694,silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,1952-07-19,British Grand Prix,5,1952,https://en.wikipedia.org/wiki/1952_British_Grand_Prix
Germany,50.3356,Nürburg,6.9475,nurburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,1952-08-03,German Grand Prix,6,1952,https://en.wikipedia.org/wiki/1952_German_Grand_Prix
Netherlands,52.3888,Zandvoort,4.54092,zandvoort,Circuit Park Zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,1952-08-17,Dutch Grand Prix,7,1952,https://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
Italy,45.6156,Monza,9.28111,monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,1952-09-07,Italian Grand Prix,8,1952,https://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
Argentina,-34.6943,Buenos Aires,-58.4593,galvez,Autódromo Juan y Oscar Gálvez,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez,1953-01-18,Argentine Grand Prix,1,1953,https://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
USA,39.795,Indianapolis,-86.2347,indianapolis,Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,1953-05-30,Indianapolis 500,2,1953,https://en.wikipedia.org/wiki/1953_Indianapolis_500
